player_ID,player_name,player_dmg,player_kills,player_assists,player_dist_walk,player_dist_ride,player_survive_time,game_size,team_id,team_placement,party_size,match_mode,match_id,date
10052,Hairless_Iguana,120,1,0,548.989746,0,382.356,37,40,30,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10053,ai_ni_de_fei,0,0,0,70.8579254,0,105.856,37,42,37,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10054,YIiyzq-tT,0,0,0,54.5513077,0,100.381,37,42,37,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10055,hqh0808,200,2,0,601.0081,0,1349.855,37,44,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10056,ChinaLXCf,0,0,0,213.221527,0,179.296,37,44,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10057,ItsPickles,0,0,0,1630.44812,3005.54443,1282.22,37,49,16,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10058,FullyWhipCrackin,81,0,0,1413.61389,3625.72119,1282.225,37,49,16,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10059,HeJaDaShao,88,1,0,113.825592,0,162.986,37,19,35,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10060,LHErDui,105,0,0,163.680618,0,162.984,37,19,35,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10061,ConnorSiebs,0,0,0,1.30789614,0,77.652,37,20,36,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10062,Andjgm,196,2,0,67.4803,0,122.27,37,20,36,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10063,dopefilipino,0,0,0,413.072937,390.6871,885.843,37,30,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10064,Appletoss,0,0,0,270.9108,416.560181,307.915,37,30,28,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
